Gmt time,Ask,Bid,AskVolume,BidVolume
27.08.2021 00:00:00.232,7.78788,7.78673,0.47,0.75
27.08.2021 00:00:00.540,7.787850000000001,7.78674,0.47,0.37
27.08.2021 00:00:00.847,7.78794,7.78672,0.47,0.75
27.08.2021 00:00:01.124,7.787850000000001,7.786760000000001,0.47,0.37
27.08.2021 00:00:05.249,7.78792,7.786760000000001,0.47,0.37
27.08.2021 00:00:10.721,7.787680000000001,7.7868200000000005,0.75,0.75
27.08.2021 00:00:11.563,7.78789,7.78678,0.47,0.75
27.08.2021 00:00:11.681,7.78789,7.78677,0.47,0.37
27.08.2021 00:00:12.571,7.78789,7.7868,0.47,0.37
27.08.2021 00:00:13.869,7.787730000000001,7.78687,0.75,0.75
27.08.2021 00:00:21.582,7.787680000000001,7.78697,0.75,0.75
27.08.2021 00:00:32.624,7.7878300000000005,7.78685,0.47,0.37
27.08.2021 00:00:35.777,7.787810000000001,7.7868200000000005,0.45,0.37
27.08.2021 00:00:36.507,7.787780000000001,7.78697,0.75,0.75
27.08.2021 00:00:46.298,7.7878300000000005,7.78679,0.47,0.37
27.08.2021 00:00:46.508,7.787680000000001,7.78687,0.75,0.75
27.08.2021 00:01:01.888,7.787680000000001,7.786980000000001,0.75,0.37
27.08.2021 00:01:06.307,7.78787,7.786980000000001,0.47,0.37
27.08.2021 00:01:06.389,7.7877,7.786980000000001,0.37,0.37
27.08.2021 00:01:28.862,7.78788,7.78679,0.47,0.75
27.08.2021 00:01:36.615,7.78784,7.786810000000001,0.47,0.75
27.08.2021 00:01:37.059,7.78772,7.786810000000001,0.37,1.12
27.08.2021 00:01:38.594,7.7877,7.786830000000001,0.37,0.37
27.08.2021 00:01:39.601,7.7877,7.786980000000001,0.37,0.37
27.08.2021 00:01:47.096,7.78769,7.786989999999999,0.37,0.37
27.08.2021 00:01:48.627,7.787680000000001,7.787010000000001,0.37,0.37
27.08.2021 00:02:37.650,7.787800000000001,7.78684,0.37,0.37
27.08.2021 00:02:42.305,7.787800000000001,7.78684,0.47,0.37
27.08.2021 00:02:48.105,7.787780000000001,7.787010000000001,0.47,0.37
27.08.2021 00:02:49.106,7.787680000000001,7.787010000000001,0.37,0.37
27.08.2021 00:03:05.995,7.78787,7.7868200000000005,1.97,0.75
