Gmt time,Ask,Bid,AskVolume,BidVolume
10.08.2021 00:00:00.164,6.48536,6.48457,1,1
10.08.2021 00:00:00.273,6.48537,6.484590000000001,1,1
10.08.2021 00:00:00.424,6.48537,6.4846,1.36,1
10.08.2021 00:00:04.375,6.48536,6.484630000000001,1,1
10.08.2021 00:00:06.611,6.48528,6.48462,1,1
10.08.2021 00:00:06.712,6.48475,6.484280000000001,1,1
10.08.2021 00:00:06.813,6.48442,6.48377,1,1
10.08.2021 00:00:06.863,6.48374,6.4833300000000005,2.25,1
10.08.2021 00:00:06.914,6.4842900000000006,6.483490000000001,1,1
10.08.2021 00:00:07.014,6.4842900000000006,6.48331,1,1.5
10.08.2021 00:00:07.065,6.48426,6.48332,1,1.5
10.08.2021 00:00:07.166,6.48392,6.483210000000001,1,1
10.08.2021 00:00:07.267,6.48372,6.48316,1,1
10.08.2021 00:00:07.368,6.48359,6.48259,1,1
10.08.2021 00:00:07.419,6.48355,6.4825800000000005,1,1
10.08.2021 00:00:07.570,6.48355,6.482550000000001,1,1
10.08.2021 00:00:07.679,6.48364,6.48256,1,1
10.08.2021 00:00:07.730,6.48359,6.48256,1,1
10.08.2021 00:00:07.854,6.483390000000001,6.48252,1,1.5
10.08.2021 00:00:07.955,6.48322,6.482530000000001,1,1
10.08.2021 00:00:08.006,6.48322,6.482430000000001,1,1
10.08.2021 00:00:08.159,6.48322,6.48257,1,1
10.08.2021 00:00:08.260,6.48327,6.48256,1.5,1
10.08.2021 00:00:08.464,6.483180000000001,6.48256,1,1
10.08.2021 00:00:08.832,6.483230000000001,6.48256,1.5,1
10.08.2021 00:00:08.933,6.48342,6.48257,1,1
10.08.2021 00:00:08.984,6.48337,6.48256,1,1
10.08.2021 00:00:09.085,6.48359,6.48257,1,1
10.08.2021 00:00:09.204,6.483480000000001,6.48256,1.12,1
10.08.2021 00:00:09.305,6.483700000000001,6.48256,1.5,1
10.08.2021 00:00:09.406,6.48365,6.4825800000000005,1,1
10.08.2021 00:00:09.633,6.48365,6.48257,1,1
10.08.2021 00:00:09.843,6.48366,6.48294,1.5,1
10.08.2021 00:00:09.944,6.48371,6.4829300000000005,1.5,1
10.08.2021 00:00:10.045,6.48366,6.4827,1,1.5
10.08.2021 00:00:10.145,6.48367,6.4827,1.5,1
10.08.2021 00:00:10.196,6.48367,6.4827,1.5,1
10.08.2021 00:00:10.297,6.4836100000000005,6.4827,1.5,1
10.08.2021 00:00:10.785,6.48356,6.4827,1.5,1
10.08.2021 00:00:11.190,6.48356,6.4827,1.5,1
10.08.2021 00:00:11.341,6.483750000000001,6.4827,1,1.5
10.08.2021 00:00:11.392,6.4836800000000006,6.4827,1,1.5
10.08.2021 00:00:11.442,6.48382,6.482830000000001,1.85,1
10.08.2021 00:00:11.543,6.48371,6.48284,1,1
10.08.2021 00:00:11.928,6.48373,6.482740000000001,1.57,1
10.08.2021 00:00:11.979,6.48376,6.482730000000001,1,1
10.08.2021 00:00:12.079,6.48376,6.482730000000001,1.1,1
10.08.2021 00:00:12.738,6.48377,6.48275,1.1,1
10.08.2021 00:00:12.839,6.48371,6.48271,1.5,1.62
10.08.2021 00:00:12.940,6.483580000000001,6.482640000000001,1,1
10.08.2021 00:00:13.040,6.48355,6.48261,1.1,1
10.08.2021 00:00:13.292,6.4836,6.48262,1,1
10.08.2021 00:00:13.343,6.483580000000001,6.48262,1,1.5
10.08.2021 00:00:13.478,6.48355,6.48263,1.1,1.5
10.08.2021 00:00:13.680,6.4836100000000005,6.48262,1.5,1.5
10.08.2021 00:00:13.730,6.4836100000000005,6.48262,1.6,1.5
10.08.2021 00:00:13.781,6.4836,6.48263,1.5,1.5
10.08.2021 00:00:13.831,6.4836,6.48263,1.6,1.5
10.08.2021 00:00:14.157,6.4836100000000005,6.48262,1,1.5
10.08.2021 00:00:14.422,6.48359,6.48263,1,1.5
10.08.2021 00:00:14.472,6.48356,6.48262,1.1,1.5
10.08.2021 00:00:14.817,6.48357,6.48263,1.1,1
10.08.2021 00:00:17.299,6.48355,6.48275,1.6,1
10.08.2021 00:00:17.810,6.48355,6.48275,1.1,1
10.08.2021 00:00:17.860,6.48357,6.48275,1.1,1
10.08.2021 00:00:18.319,6.48356,6.48276,1.1,1
10.08.2021 00:00:20.746,6.48356,6.48291,1.1,1
10.08.2021 00:00:20.847,6.48357,6.482950000000001,1,1
10.08.2021 00:00:20.897,6.483630000000001,6.48294,1,1
10.08.2021 00:00:20.998,6.48365,6.48277,1.1,1
10.08.2021 00:00:23.553,6.48366,6.48276,1.5,1.5
10.08.2021 00:00:23.654,6.483630000000001,6.482830000000001,1,1
10.08.2021 00:00:23.755,6.48376,6.48276,1.5,1.5
10.08.2021 00:00:23.805,6.48373,6.48297,1,1.5
10.08.2021 00:00:23.906,6.48374,6.48315,1,1.87
10.08.2021 00:00:24.007,6.48367,6.483140000000001,1,1.12
10.08.2021 00:00:24.058,6.48371,6.48281,1,1
10.08.2021 00:00:24.108,6.48366,6.482830000000001,1,1
10.08.2021 00:00:24.353,6.48365,6.48275,1,1
10.08.2021 00:00:24.404,6.4836800000000006,6.482730000000001,1,1
10.08.2021 00:00:24.504,6.48365,6.48275,1,1.12
10.08.2021 00:00:24.696,6.48364,6.482740000000001,1,1
10.08.2021 00:00:24.797,6.48359,6.48272,1,1
10.08.2021 00:00:24.847,6.4836800000000006,6.482880000000001,1,1
10.08.2021 00:00:24.898,6.4836100000000005,6.48289,1,1
10.08.2021 00:00:24.948,6.48357,6.482640000000001,1,1
10.08.2021 00:00:25.250,6.4836,6.48292,1.12,1
10.08.2021 00:00:25.301,6.48374,6.4828600000000005,1.62,1.25
10.08.2021 00:00:25.351,6.48374,6.48289,1,1
10.08.2021 00:00:25.452,6.4838000000000005,6.48312,1,1
10.08.2021 00:00:25.502,6.4838000000000005,6.482740000000001,1,1
10.08.2021 00:00:25.553,6.48371,6.482740000000001,1,1
10.08.2021 00:00:25.759,6.48367,6.48316,1,1
10.08.2021 00:00:25.810,6.48382,6.48305,1.5,1.5
10.08.2021 00:00:26.011,6.48386,6.48299,1,1
10.08.2021 00:00:26.145,6.48385,6.4830000000000005,1,1
10.08.2021 00:00:26.196,6.48386,6.4829300000000005,1,1
10.08.2021 00:00:26.247,6.48382,6.4829300000000005,1,1
10.08.2021 00:00:26.397,6.484030000000001,6.483300000000001,1,1
10.08.2021 00:00:27.515,6.484030000000001,6.4833300000000005,1,1
10.08.2021 00:00:27.828,6.484100000000001,6.48336,1,1
10.08.2021 00:00:27.879,6.48414,6.48338,1,1
10.08.2021 00:00:28.014,6.48418,6.48337,1.5,1
10.08.2021 00:00:29.153,6.48418,6.48337,1.6,1
10.08.2021 00:00:37.381,6.48409,6.48337,1,1
10.08.2021 00:00:37.482,6.48418,6.48343,1,1
10.08.2021 00:00:43.112,6.48406,6.48342,1,1
10.08.2021 00:00:43.222,6.48406,6.4835,1,1
10.08.2021 00:00:43.273,6.48405,6.48347,1,1
10.08.2021 00:00:43.540,6.48405,6.48351,1,1
10.08.2021 00:00:43.792,6.48406,6.48351,1,1
10.08.2021 00:00:43.842,6.484100000000001,6.48351,1,1
10.08.2021 00:00:43.895,6.484100000000001,6.483490000000001,1,1.1
10.08.2021 00:00:44.036,6.48409,6.48357,1,1.1
10.08.2021 00:00:44.614,6.484100000000001,6.4836,1,1.1
10.08.2021 00:00:46.384,6.48409,6.483580000000001,1,1.1
10.08.2021 00:00:49.545,6.48411,6.48357,1.1,1.1
10.08.2021 00:00:51.856,6.4840800000000005,6.4835400000000005,1.1,1.1
10.08.2021 00:00:52.007,6.48407,6.483530000000001,1.1,1
10.08.2021 00:00:52.108,6.48405,6.483490000000001,1,1
10.08.2021 00:00:52.522,6.48404,6.48347,1,1.1
10.08.2021 00:00:52.683,6.484030000000001,6.483440000000001,1.1,1.57
10.08.2021 00:00:53.004,6.484030000000001,6.48352,1.1,1
10.08.2021 00:00:53.188,6.484030000000001,6.4835,1.1,1
10.08.2021 00:00:53.457,6.48402,6.483480000000001,1.1,1
10.08.2021 00:00:54.443,6.484,6.48347,1.1,1
10.08.2021 00:00:55.176,6.48399,6.48347,1.1,1
10.08.2021 00:00:55.361,6.4840100000000005,6.48347,1.1,1
10.08.2021 00:00:55.707,6.48404,6.48347,1.1,1
10.08.2021 00:00:56.685,6.48404,6.483490000000001,1.1,1.1
10.08.2021 00:01:03.273,6.484030000000001,6.4835400000000005,1.1,1
10.08.2021 00:01:03.323,6.484030000000001,6.483490000000001,1,1.1
10.08.2021 00:01:03.374,6.4840100000000005,6.483490000000001,1,1.1
10.08.2021 00:01:03.474,6.48402,6.4835,1,1.1
10.08.2021 00:01:04.876,6.48402,6.48352,1,1.1
10.08.2021 00:01:06.066,6.48399,6.48352,1,1.1
10.08.2021 00:01:06.195,6.4839400000000005,6.48352,1,1.1
10.08.2021 00:01:06.365,6.48392,6.48351,1,1.1
10.08.2021 00:01:07.055,6.4839400000000005,6.48351,1,1.1
10.08.2021 00:01:07.565,6.4839400000000005,6.4835,1,1.1
10.08.2021 00:01:07.736,6.48402,6.48352,1,1.1
10.08.2021 00:01:07.887,6.48397,6.483530000000001,1,1.1
10.08.2021 00:01:08.044,6.483980000000001,6.48356,1,1.1
10.08.2021 00:01:08.206,6.483980000000001,6.483580000000001,1,1.1
10.08.2021 00:01:09.703,6.48397,6.48362,1,1.1
10.08.2021 00:01:09.754,6.4840100000000005,6.4836100000000005,1,1.1
10.08.2021 00:01:11.246,6.483980000000001,6.48362,1,1.1
10.08.2021 00:01:11.973,6.48399,6.48359,1,1.1
10.08.2021 00:01:15.109,6.483980000000001,6.483700000000001,1,1
10.08.2021 00:01:15.160,6.4840100000000005,6.4836100000000005,1,1.1
10.08.2021 00:01:15.210,6.4839400000000005,6.483580000000001,1,1.1
10.08.2021 00:01:15.261,6.48399,6.48357,1,1.1
10.08.2021 00:01:15.362,6.484030000000001,6.4836,1,1
10.08.2021 00:01:15.412,6.484030000000001,6.48365,1,1
10.08.2021 00:01:15.463,6.48404,6.4835,1,1
10.08.2021 00:01:15.715,6.48412,6.48378,1,1
10.08.2021 00:01:15.816,6.48411,6.483750000000001,1,1
10.08.2021 00:01:15.867,6.4840800000000005,6.4836800000000006,1,1
10.08.2021 00:01:15.917,6.48406,6.4836800000000006,1,1
10.08.2021 00:01:15.967,6.48406,6.48352,1,1
10.08.2021 00:01:16.238,6.48404,6.4835400000000005,1,1
10.08.2021 00:01:16.288,6.48405,6.48355,1,1
10.08.2021 00:01:16.389,6.48402,6.48355,1,1
10.08.2021 00:01:16.491,6.483980000000001,6.48352,1,1.5
10.08.2021 00:01:16.614,6.48397,6.4835400000000005,1,1
10.08.2021 00:01:16.715,6.48406,6.48359,1,1
10.08.2021 00:01:16.765,6.48416,6.48372,1,1
10.08.2021 00:01:16.816,6.48416,6.48369,1,1
10.08.2021 00:01:16.867,6.48414,6.48367,1,1
10.08.2021 00:01:16.917,6.48417,6.4836800000000006,1,1
10.08.2021 00:01:16.968,6.48413,6.4836800000000006,1,1
10.08.2021 00:01:17.069,6.48414,6.4836100000000005,1,1
10.08.2021 00:01:17.120,6.48407,6.4836100000000005,1,1.5
10.08.2021 00:01:17.254,6.48407,6.483700000000001,1,1
10.08.2021 00:01:17.304,6.48411,6.4836800000000006,1,1
10.08.2021 00:01:17.355,6.48411,6.48371,1,1
10.08.2021 00:01:17.405,6.484190000000001,6.48369,1,1.5
10.08.2021 00:01:17.524,6.48416,6.483700000000001,1,1
10.08.2021 00:01:17.625,6.48406,6.48362,1,1
10.08.2021 00:01:17.826,6.4840800000000005,6.483700000000001,1,1
10.08.2021 00:01:17.877,6.48412,6.48373,1.5,1
10.08.2021 00:01:17.927,6.48412,6.48377,1,1
10.08.2021 00:01:17.981,6.48421,6.48376,1,1
10.08.2021 00:01:18.135,6.48422,6.48377,1,1
10.08.2021 00:01:18.185,6.48423,6.48378,1,1
10.08.2021 00:01:18.236,6.48447,6.483880000000001,1.5,1
10.08.2021 00:01:18.393,6.48447,6.483880000000001,1,1.5
10.08.2021 00:01:18.444,6.48451,6.483880000000001,1,1
10.08.2021 00:01:19.209,6.484500000000001,6.4839,1,1
10.08.2021 00:01:19.259,6.48449,6.483930000000001,1,1
10.08.2021 00:01:27.624,6.48449,6.4839400000000005,1,1
10.08.2021 00:01:29.624,6.48449,6.483930000000001,1,1
10.08.2021 00:01:35.130,6.48449,6.4839400000000005,1,1
10.08.2021 00:01:35.231,6.48451,6.48397,1,1
10.08.2021 00:01:35.436,6.48453,6.48392,1,1
10.08.2021 00:01:38.340,6.48456,6.4839,1.5,1
10.08.2021 00:01:38.440,6.48452,6.483930000000001,1,1
10.08.2021 00:01:38.693,6.48457,6.483880000000001,1,1
10.08.2021 00:01:43.051,6.48447,6.4839,1,1
10.08.2021 00:01:43.637,6.484450000000001,6.48391,1,1
10.08.2021 00:02:00.106,6.48444,6.48395,1,1
10.08.2021 00:02:00.207,6.484450000000001,6.4839400000000005,1,1.5
10.08.2021 00:02:01.365,6.484450000000001,6.4839400000000005,1,1.5
10.08.2021 00:02:03.370,6.48444,6.48395,1,1.5
10.08.2021 00:02:07.389,6.48444,6.48395,1,1.5
10.08.2021 00:02:07.440,6.484430000000001,6.48391,1,1.5
10.08.2021 00:02:08.394,6.48442,6.48392,1.5,1.5
10.08.2021 00:02:08.987,6.484430000000001,6.48397,1.5,1
10.08.2021 00:02:09.093,6.48442,6.4840100000000005,1.5,1
10.08.2021 00:02:09.194,6.484430000000001,6.48397,1,1
10.08.2021 00:02:09.456,6.48446,6.483930000000001,1,1.5
10.08.2021 00:02:09.863,6.484450000000001,6.483930000000001,1,1.5
10.08.2021 00:02:10.874,6.48446,6.48392,1,1.5
10.08.2021 00:02:21.977,6.484430000000001,6.483930000000001,1,1.5
10.08.2021 00:02:22.078,6.48442,6.48391,1,1.5
10.08.2021 00:02:22.179,6.484380000000001,6.48391,1,1.5
10.08.2021 00:02:23.164,6.48437,6.48392,1,1.5
10.08.2021 00:02:27.034,6.484380000000001,6.48399,1,1
10.08.2021 00:02:27.135,6.4845500000000005,6.48432,1,1
10.08.2021 00:02:27.186,6.484540000000001,6.48421,1,1
10.08.2021 00:02:27.287,6.48462,6.484100000000001,1.81,1.5
10.08.2021 00:02:28.235,6.48461,6.48412,1.81,1
10.08.2021 00:02:28.771,6.48456,6.48412,1,1
10.08.2021 00:02:28.872,6.48457,6.48405,1,1.5
10.08.2021 00:02:29.250,6.48457,6.48405,1,1.12
10.08.2021 00:02:30.393,6.48457,6.4840800000000005,1,1
10.08.2021 00:02:30.494,6.48457,6.48407,1,1
10.08.2021 00:02:32.056,6.48452,6.48397,1,1.5
10.08.2021 00:02:32.397,6.48446,6.48397,1,1.5
10.08.2021 00:02:32.912,6.48446,6.48397,1,1.5
10.08.2021 00:02:33.913,6.48447,6.48396,1,1.5
10.08.2021 00:02:41.954,6.48447,6.484190000000001,1,1
10.08.2021 00:02:42.056,6.48453,6.4843,1,1
10.08.2021 00:02:42.106,6.48479,6.48437,1,1
10.08.2021 00:02:42.157,6.48479,6.48432,1,1
10.08.2021 00:02:42.258,6.4846900000000005,6.484240000000001,1,1.5
10.08.2021 00:02:42.560,6.48477,6.4843,1,1.5
10.08.2021 00:02:42.611,6.4847600000000005,6.48435,1,1
10.08.2021 00:02:42.712,6.48477,6.484380000000001,1,1
10.08.2021 00:02:43.558,6.48477,6.48435,1.5,1
