,time,open,high,low,close,tick_volume,spread,real_volume
0,2021.08.11 00:00,110.55,110.553,110.549,110.549,6,0,0
1,2021.08.11 00:01,110.551,110.554,110.543,110.554,7,0,0
2,2021.08.11 00:02,110.553,110.553,110.549,110.551,5,0,0
3,2021.08.11 00:03,110.552,110.554,110.551,110.554,6,0,0
4,2021.08.11 00:04,110.554,110.554,110.55,110.55,4,0,0
5,2021.08.11 00:05,110.551,110.551,110.551,110.551,1,0,0
6,2021.08.11 00:06,110.554,110.554,110.545,110.545,5,0,0
7,2021.08.11 00:07,110.545,110.554,110.545,110.547,9,0,0
8,2021.08.11 00:08,110.547,110.554,110.547,110.554,4,0,0
9,2021.08.11 00:09,110.552,110.554,110.547,110.547,4,0,0
10,2021.08.11 00:10,110.554,110.554,110.551,110.551,3,0,0
11,2021.08.11 00:11,110.553,110.56,110.548,110.551,10,0,0
12,2021.08.11 00:12,110.553,110.555,110.549,110.553,8,0,0
13,2021.08.11 00:13,110.553,110.555,110.55,110.553,7,0,0
14,2021.08.11 00:14,110.553,110.555,110.55,110.552,12,0,0
15,2021.08.11 00:15,110.554,110.554,110.548,110.548,2,0,0
16,2021.08.11 00:16,110.551,110.559,110.548,110.554,108,0,0
17,2021.08.11 00:17,110.552,110.565,110.542,110.554,104,0,0
18,2021.08.11 00:18,110.552,110.555,110.549,110.552,87,0,0
19,2021.08.11 00:19,110.555,110.555,110.548,110.554,77,0,0
20,2021.08.11 00:20,110.554,110.555,110.549,110.554,148,0,0
21,2021.08.11 00:21,110.554,110.555,110.552,110.553,86,0,0
22,2021.08.11 00:22,110.555,110.556,110.548,110.556,109,0,0
23,2021.08.11 00:23,110.556,110.559,110.551,110.556,119,0,0
24,2021.08.11 00:24,110.551,110.556,110.551,110.556,48,0,0
25,2021.08.11 00:25,110.554,110.554,110.552,110.554,13,0,0
26,2021.08.11 00:26,110.552,110.554,110.499,110.521,96,0,0
27,2021.08.11 00:27,110.525,110.548,110.525,110.545,19,0,0
28,2021.08.11 00:28,110.55,110.553,110.545,110.55,227,0,0
29,2021.08.11 00:29,110.545,110.553,110.545,110.547,234,0,0
30,2021.08.11 00:30,110.552,110.566,110.547,110.55,246,0,0
31,2021.08.11 00:31,110.548,110.55,110.547,110.548,74,0,0
32,2021.08.11 00:32,110.549,110.55,110.547,110.548,146,0,0
33,2021.08.11 00:33,110.548,110.549,110.548,110.549,12,0,0
34,2021.08.11 00:34,110.548,110.549,110.546,110.546,29,0,0
35,2021.08.11 00:35,110.545,110.549,110.545,110.549,109,0,0
36,2021.08.11 00:36,110.548,110.549,110.547,110.549,38,0,0
37,2021.08.11 00:37,110.547,110.548,110.545,110.547,137,0,0
38,2021.08.11 00:38,110.547,110.549,110.546,110.548,146,0,0
39,2021.08.11 00:39,110.548,110.549,110.546,110.546,5,0,0
40,2021.08.11 00:40,110.546,110.548,110.545,110.548,242,0,0
41,2021.08.11 00:41,110.546,110.549,110.546,110.549,212,0,0
42,2021.08.11 00:42,110.547,110.55,110.545,110.55,243,0,0
43,2021.08.11 00:43,110.547,110.55,110.546,110.546,251,0,0
44,2021.08.11 00:44,110.548,110.551,110.546,110.55,241,0,0
45,2021.08.11 00:45,110.548,110.553,110.547,110.549,249,0,0
46,2021.08.11 00:46,110.551,110.553,110.547,110.55,255,0,0
47,2021.08.11 00:47,110.548,110.55,110.547,110.548,231,0,0
48,2021.08.11 00:48,110.549,110.55,110.547,110.55,221,0,0
49,2021.08.11 00:49,110.548,110.55,110.547,110.548,233,0,0
50,2021.08.11 00:50,110.55,110.551,110.547,110.548,165,0,0
51,2021.08.11 00:51,110.548,110.548,110.535,110.545,24,0,0
52,2021.08.11 00:52,110.544,110.547,110.543,110.546,25,0,0
53,2021.08.11 00:53,110.538,110.559,110.537,110.553,92,0,0
54,2021.08.11 00:54,110.553,110.559,110.549,110.557,86,0,0
55,2021.08.11 00:55,110.558,110.558,110.555,110.556,96,0,0
56,2021.08.11 00:56,110.556,110.558,110.551,110.555,109,0,0
57,2021.08.11 00:57,110.555,110.557,110.552,110.555,127,0,0
58,2021.08.11 00:58,110.552,110.561,110.552,110.552,186,0,0
59,2021.08.11 00:59,110.558,110.56,110.552,110.553,58,0,0
60,2021.08.11 01:00,110.558,110.569,110.54,110.567,52,0,0
61,2021.08.11 01:01,110.568,110.576,110.567,110.571,58,0,0
62,2021.08.11 01:02,110.571,110.572,110.569,110.571,17,0,0
63,2021.08.11 01:03,110.571,110.577,110.571,110.577,60,0,0
64,2021.08.11 01:04,110.576,110.58,110.576,110.578,17,0,0
65,2021.08.11 01:05,110.579,110.583,110.577,110.577,23,0,0
66,2021.08.11 01:06,110.576,110.578,110.566,110.572,32,0,0
67,2021.08.11 01:07,110.572,110.577,110.572,110.574,28,0,0
68,2021.08.11 01:08,110.574,110.574,110.571,110.572,19,0,0
69,2021.08.11 01:09,110.573,110.573,110.569,110.572,7,0,0
70,2021.08.11 01:10,110.576,110.579,110.576,110.578,81,0,0
71,2021.08.11 01:11,110.577,110.578,110.573,110.576,32,0,0
72,2021.08.11 01:12,110.575,110.576,110.573,110.573,6,0,0
73,2021.08.11 01:13,110.573,110.576,110.573,110.576,9,0,0
74,2021.08.11 01:14,110.576,110.576,110.573,110.576,3,0,0
75,2021.08.11 01:15,110.576,110.576,110.573,110.575,9,0,0
76,2021.08.11 01:16,110.575,110.576,110.575,110.575,25,0,0
77,2021.08.11 01:17,110.575,110.576,110.575,110.576,40,0,0
78,2021.08.11 01:18,110.576,110.576,110.574,110.574,5,0,0
79,2021.08.11 01:19,110.573,110.574,110.572,110.573,7,0,0
80,2021.08.11 01:20,110.575,110.575,110.568,110.568,6,0,0
81,2021.08.11 01:21,110.568,110.572,110.568,110.569,12,0,0
82,2021.08.11 01:22,110.569,110.571,110.568,110.568,22,0,0
83,2021.08.11 01:23,110.568,110.569,110.568,110.569,4,0,0
84,2021.08.11 01:24,110.57,110.57,110.562,110.563,9,0,0
85,2021.08.11 01:25,110.562,110.563,110.562,110.563,2,0,0
86,2021.08.11 01:26,110.563,110.563,110.562,110.563,3,0,0
87,2021.08.11 01:27,110.563,110.563,110.562,110.563,3,0,0
88,2021.08.11 01:28,110.561,110.563,110.561,110.562,4,0,0
89,2021.08.11 01:29,110.562,110.563,110.557,110.56,8,0,0
90,2021.08.11 01:30,110.56,110.562,110.56,110.562,9,0,0
91,2021.08.11 01:31,110.562,110.563,110.562,110.563,4,0,0
92,2021.08.11 01:32,110.563,110.564,110.562,110.562,4,0,0
93,2021.08.11 01:33,110.562,110.565,110.562,110.562,8,0,0
94,2021.08.11 01:34,110.564,110.564,110.561,110.563,7,0,0
95,2021.08.11 01:35,110.563,110.563,110.561,110.563,11,0,0
96,2021.08.11 01:36,110.562,110.563,110.562,110.563,14,0,0
97,2021.08.11 01:37,110.563,110.563,110.557,110.557,12,0,0
98,2021.08.11 01:38,110.557,110.559,110.557,110.559,4,0,0
99,2021.08.11 01:39,110.558,110.56,110.557,110.557,6,0,0
100,2021.08.11 01:40,110.554,110.567,110.554,110.563,16,0,0
101,2021.08.11 01:41,110.565,110.57,110.564,110.569,7,0,0
102,2021.08.11 01:42,110.573,110.579,110.573,110.576,9,0,0
103,2021.08.11 01:43,110.576,110.576,110.57,110.571,10,0,0
104,2021.08.11 01:44,110.572,110.573,110.572,110.572,55,0,0
105,2021.08.11 01:45,110.568,110.569,110.563,110.563,10,0,0
106,2021.08.11 01:46,110.564,110.566,110.563,110.563,11,0,0
107,2021.08.11 01:47,110.563,110.563,110.562,110.563,7,0,0
108,2021.08.11 01:48,110.563,110.563,110.562,110.563,3,0,0
109,2021.08.11 01:49,110.563,110.563,110.557,110.557,13,0,0
110,2021.08.11 01:50,110.559,110.559,110.556,110.557,4,0,0
111,2021.08.11 01:51,110.557,110.562,110.557,110.56,12,0,0
112,2021.08.11 01:52,110.562,110.562,110.557,110.558,11,0,0
113,2021.08.11 01:53,110.557,110.559,110.557,110.557,5,0,0
114,2021.08.11 01:54,110.557,110.558,110.556,110.558,6,0,0
115,2021.08.11 01:55,110.559,110.56,110.556,110.557,11,0,0
116,2021.08.11 01:56,110.557,110.559,110.557,110.558,14,0,0
117,2021.08.11 01:57,110.558,110.558,110.558,110.558,1,0,0
118,2021.08.11 01:58,110.558,110.56,110.557,110.557,4,0,0
119,2021.08.11 01:59,110.556,110.559,110.549,110.551,8,0,0
120,2021.08.11 02:00,110.552,110.552,110.546,110.546,13,0,0
121,2021.08.11 02:01,110.55,110.552,110.546,110.548,12,0,0
122,2021.08.11 02:02,110.55,110.552,110.549,110.551,8,0,0
