,time,open,high,low,close,tick_volume,spread,real_volume
0,2021.08.10 00:00,110.255,110.272,110.25,110.272,5,0,0
1,2021.08.10 00:01,110.269,110.304,110.269,110.304,4,0,0
2,2021.08.10 00:02,110.288,110.308,110.288,110.302,9,0,0
3,2021.08.10 00:03,110.303,110.306,110.302,110.302,6,0,0
4,2021.08.10 00:04,110.302,110.306,110.299,110.304,13,0,0
5,2021.08.10 00:05,110.302,110.306,110.297,110.305,56,0,0
6,2021.08.10 00:06,110.303,110.307,110.294,110.303,47,0,0
7,2021.08.10 00:07,110.303,110.313,110.299,110.312,248,0,0
8,2021.08.10 00:08,110.303,110.313,110.299,110.302,232,0,0
9,2021.08.10 00:09,110.299,110.308,110.297,110.298,231,0,0
10,2021.08.10 00:10,110.304,110.306,110.298,110.304,173,0,0
11,2021.08.10 00:11,110.301,110.305,110.298,110.305,62,0,0
12,2021.08.10 00:12,110.303,110.303,110.301,110.303,3,0,0
13,2021.08.10 00:13,110.304,110.305,110.298,110.304,104,0,0
14,2021.08.10 00:14,110.301,110.305,110.295,110.296,108,0,0
15,2021.08.10 00:15,110.296,110.305,110.295,110.301,39,0,0
16,2021.08.10 00:16,110.305,110.305,110.301,110.303,60,0,0
17,2021.08.10 00:17,110.302,110.305,110.299,110.302,184,0,0
18,2021.08.10 00:18,110.299,110.305,110.297,110.3,204,0,0
19,2021.08.10 00:19,110.301,110.306,110.297,110.304,194,0,0
20,2021.08.10 00:20,110.303,110.306,110.298,110.298,206,0,0
21,2021.08.10 00:21,110.299,110.303,110.297,110.299,192,0,0
22,2021.08.10 00:22,110.301,110.306,110.297,110.303,198,0,0
23,2021.08.10 00:23,110.305,110.306,110.298,110.299,229,0,0
24,2021.08.10 00:24,110.3,110.305,110.297,110.298,216,0,0
25,2021.08.10 00:25,110.303,110.306,110.298,110.299,220,0,0
26,2021.08.10 00:26,110.301,110.306,110.299,110.303,188,0,0
27,2021.08.10 00:27,110.304,110.306,110.301,110.306,234,0,0
28,2021.08.10 00:28,110.302,110.306,110.299,110.302,201,0,0
29,2021.08.10 00:29,110.302,110.304,110.299,110.302,186,0,0
30,2021.08.10 00:30,110.303,110.313,110.298,110.311,85,0,0
31,2021.08.10 00:31,110.308,110.313,110.306,110.311,20,0,0
32,2021.08.10 00:32,110.31,110.316,110.31,110.314,83,0,0
33,2021.08.10 00:33,110.314,110.318,110.307,110.307,104,0,0
34,2021.08.10 00:34,110.308,110.318,110.306,110.318,117,0,0
35,2021.08.10 00:35,110.32,110.341,110.285,110.323,19,0,0
36,2021.08.10 00:36,110.319,110.325,110.319,110.323,13,0,0
