,time,open,high,low,close,tick_volume,spread,real_volume
0,2021.08.26 00:00,1.25888,1.25939,1.25871,1.2588,8,0,0
1,2021.08.26 00:01,1.25858,1.25883,1.25858,1.25872,7,0,0
2,2021.08.26 00:02,1.25873,1.25879,1.25873,1.25879,4,0,0
3,2021.08.26 00:03,1.25885,1.25886,1.25885,1.25886,2,0,0
4,2021.08.26 00:04,1.25891,1.25891,1.25882,1.25882,8,0,0
5,2021.08.26 00:05,1.25881,1.25898,1.25881,1.25881,4,0,0
6,2021.08.26 00:06,1.25881,1.25918,1.25881,1.25888,8,0,0
7,2021.08.26 00:07,1.25888,1.25888,1.25888,1.25888,1,0,0
8,2021.08.26 00:08,1.25888,1.25888,1.25883,1.25884,3,0,0
9,2021.08.26 00:09,1.25888,1.25912,1.25883,1.25912,3,0,0
10,2021.08.26 00:10,1.25912,1.25914,1.25912,1.25914,2,0,0
11,2021.08.26 00:11,1.25914,1.25914,1.2589,1.25898,3,0,0
12,2021.08.26 00:12,1.25898,1.25898,1.25889,1.25889,2,0,0
13,2021.08.26 00:13,1.25889,1.25898,1.25889,1.25898,4,0,0
14,2021.08.26 00:14,1.25898,1.25898,1.25898,1.25898,1,0,0
15,2021.08.26 00:15,1.25891,1.25902,1.25882,1.25888,15,0,0
16,2021.08.26 00:16,1.25888,1.25888,1.25882,1.25882,3,0,0
17,2021.08.26 00:17,1.25882,1.25882,1.25881,1.25882,3,0,0
18,2021.08.26 00:18,1.25888,1.25888,1.25855,1.25856,5,0,0
19,2021.08.26 00:19,1.25863,1.25863,1.25855,1.25855,3,0,0
20,2021.08.26 00:20,1.25855,1.25855,1.25853,1.25853,3,0,0
21,2021.08.26 00:21,1.25852,1.25863,1.2585,1.25851,6,0,0
22,2021.08.26 00:22,1.25863,1.25863,1.25856,1.25856,6,0,0
23,2021.08.26 00:23,1.25888,1.25903,1.25858,1.25868,10,0,0
24,2021.08.26 00:24,1.25868,1.25868,1.25868,1.25868,1,0,0
25,2021.08.26 00:25,1.25868,1.25868,1.25864,1.25867,4,0,0
26,2021.08.26 00:26,1.25868,1.25882,1.25864,1.25864,3,0,0
27,2021.08.26 00:27,1.25865,1.25867,1.25865,1.25865,5,0,0
28,2021.08.26 00:28,1.25867,1.25885,1.25864,1.25868,7,0,0
29,2021.08.26 00:29,1.25864,1.25882,1.25864,1.25868,8,0,0
30,2021.08.26 00:30,1.2586,1.25883,1.2586,1.2587,9,0,0
31,2021.08.26 00:31,1.25869,1.25874,1.25868,1.25874,4,0,0
32,2021.08.26 00:32,1.2587,1.25874,1.2587,1.25874,6,0,0
33,2021.08.26 00:33,1.25885,1.25885,1.25871,1.25872,4,0,0
34,2021.08.26 00:34,1.25874,1.25884,1.25873,1.25876,12,0,0
35,2021.08.26 00:35,1.25874,1.25879,1.25874,1.25879,2,0,0
36,2021.08.26 00:36,1.25879,1.25889,1.25879,1.25879,5,0,0
37,2021.08.26 00:37,1.25879,1.25881,1.25879,1.25879,4,0,0
38,2021.08.26 00:38,1.25879,1.25879,1.25879,1.25879,1,0,0
39,2021.08.26 00:39,1.25883,1.25883,1.25879,1.25881,10,0,0
40,2021.08.26 00:40,1.25887,1.25887,1.25879,1.25879,3,0,0
41,2021.08.26 00:41,1.25878,1.25879,1.25877,1.25879,5,0,0
42,2021.08.26 00:42,1.2587,1.25879,1.2587,1.25879,2,0,0
43,2021.08.26 00:43,1.25879,1.25879,1.25876,1.25879,4,0,0
44,2021.08.26 00:44,1.25879,1.25895,1.25879,1.25895,3,0,0
45,2021.08.26 00:45,1.25878,1.25885,1.25878,1.25878,5,0,0
46,2021.08.26 00:46,1.25878,1.25894,1.25878,1.25878,4,0,0
47,2021.08.26 00:47,1.25878,1.25882,1.25878,1.25882,7,0,0
48,2021.08.26 00:48,1.25879,1.25882,1.25879,1.2588,6,0,0
49,2021.08.26 00:49,1.25878,1.25883,1.25878,1.25882,5,0,0
50,2021.08.26 00:50,1.25881,1.25881,1.25878,1.25878,2,0,0
51,2021.08.26 00:51,1.25878,1.25881,1.25878,1.25878,5,0,0
52,2021.08.26 00:52,1.25871,1.25878,1.25871,1.25878,2,0,0
53,2021.08.26 00:53,1.25871,1.25887,1.25871,1.25878,7,0,0
54,2021.08.26 00:54,1.25878,1.25878,1.25878,1.25878,1,0,0
55,2021.08.26 00:55,1.25873,1.25882,1.25873,1.25878,12,0,0
56,2021.08.26 00:56,1.25878,1.25881,1.25878,1.25878,9,0,0
57,2021.08.26 00:57,1.25878,1.2588,1.25858,1.25866,20,0,0
58,2021.08.26 00:58,1.25867,1.25867,1.2586,1.25864,10,0,0
59,2021.08.26 00:59,1.2585,1.25885,1.2585,1.25869,8,0,0
60,2021.08.26 01:00,1.25869,1.2591,1.25864,1.25892,81,0,0
61,2021.08.26 01:01,1.25896,1.25903,1.25892,1.25903,9,0,0
62,2021.08.26 01:02,1.25911,1.25911,1.25908,1.25909,5,0,0
63,2021.08.26 01:03,1.25911,1.25919,1.25908,1.25918,7,0,0
64,2021.08.26 01:04,1.25919,1.25924,1.25919,1.25924,2,0,0
65,2021.08.26 01:05,1.25919,1.25925,1.25913,1.25913,17,0,0
66,2021.08.26 01:06,1.25911,1.25911,1.2591,1.2591,2,0,0
67,2021.08.26 01:07,1.2591,1.25916,1.2591,1.25912,7,0,0
68,2021.08.26 01:08,1.25913,1.25915,1.25913,1.25913,3,0,0
69,2021.08.26 01:09,1.25913,1.25913,1.25911,1.25911,5,0,0
70,2021.08.26 01:10,1.25911,1.25913,1.25899,1.25899,5,0,0
71,2021.08.26 01:11,1.25902,1.25902,1.25899,1.25899,5,0,0
72,2021.08.26 01:12,1.25899,1.25899,1.25886,1.25891,4,0,0
73,2021.08.26 01:13,1.2589,1.25891,1.25885,1.25887,6,0,0
74,2021.08.26 01:14,1.25891,1.25895,1.25891,1.25893,5,0,0
75,2021.08.26 01:15,1.25893,1.25893,1.2589,1.25891,5,0,0
76,2021.08.26 01:16,1.2589,1.25895,1.2589,1.2589,6,0,0
77,2021.08.26 01:17,1.25891,1.25892,1.25889,1.25889,5,0,0
78,2021.08.26 01:18,1.2589,1.2589,1.25885,1.25887,4,0,0
79,2021.08.26 01:19,1.25886,1.25887,1.25883,1.25883,7,0,0
80,2021.08.26 01:20,1.25876,1.25891,1.25876,1.25891,6,0,0
81,2021.08.26 01:21,1.25893,1.25893,1.25886,1.25888,8,0,0
82,2021.08.26 01:22,1.25888,1.25888,1.25885,1.25887,5,0,0
83,2021.08.26 01:23,1.25888,1.25888,1.25886,1.25886,3,0,0
84,2021.08.26 01:24,1.25888,1.25895,1.25888,1.25895,6,0,0
85,2021.08.26 01:25,1.25895,1.259,1.25895,1.259,7,0,0
86,2021.08.26 01:26,1.25895,1.25896,1.25892,1.25895,7,0,0
87,2021.08.26 01:27,1.25895,1.25895,1.25895,1.25895,1,0,0
88,2021.08.26 01:28,1.25894,1.25895,1.25894,1.25895,2,0,0
