,time,open,high,low,close,tick_volume,spread,real_volume
0,2021.08.25 00:00,1.25856,1.25856,1.25829,1.25839,6,0,0
1,2021.08.25 00:01,1.25843,1.25843,1.25839,1.25839,3,0,0
2,2021.08.25 00:02,1.25861,1.25928,1.25861,1.25863,8,0,0
3,2021.08.25 00:03,1.259,1.259,1.25863,1.25863,2,0,0
4,2021.08.25 00:04,1.25889,1.25902,1.25889,1.259,4,0,0
5,2021.08.25 00:05,1.25908,1.25912,1.259,1.25911,8,0,0
6,2021.08.25 00:06,1.25911,1.25911,1.25909,1.2591,6,0,0
7,2021.08.25 00:07,1.2591,1.25948,1.25909,1.25948,18,0,0
8,2021.08.25 00:08,1.25942,1.25948,1.25908,1.25922,15,0,0
9,2021.08.25 00:09,1.25921,1.25964,1.25876,1.25876,20,0,0
10,2021.08.25 00:10,1.25876,1.25904,1.25876,1.25884,19,0,0
11,2021.08.25 00:11,1.25884,1.25885,1.25871,1.25871,6,0,0
12,2021.08.25 00:12,1.25884,1.25884,1.25884,1.25884,1,0,0
13,2021.08.25 00:13,1.25884,1.25896,1.25876,1.25896,8,0,0
14,2021.08.25 00:14,1.25881,1.25896,1.2588,1.25882,8,0,0
15,2021.08.25 00:15,1.25882,1.25896,1.25882,1.25896,5,0,0
16,2021.08.25 00:16,1.25921,1.25936,1.25921,1.25926,4,0,0
17,2021.08.25 00:17,1.25919,1.2593,1.25919,1.25921,6,0,0
18,2021.08.25 00:18,1.25914,1.25926,1.25896,1.25926,4,0,0
19,2021.08.25 00:19,1.25926,1.25926,1.2591,1.2591,10,0,0
20,2021.08.25 00:20,1.25919,1.25926,1.2591,1.25918,5,0,0
21,2021.08.25 00:21,1.25915,1.25926,1.25884,1.25884,15,0,0
22,2021.08.25 00:22,1.25884,1.25884,1.25878,1.25884,9,0,0
23,2021.08.25 00:23,1.25884,1.25884,1.25876,1.25876,5,0,0
24,2021.08.25 00:24,1.25878,1.25884,1.2587,1.2587,8,0,0
25,2021.08.25 00:25,1.2587,1.25884,1.25864,1.25864,6,0,0
26,2021.08.25 00:26,1.2586,1.25884,1.2586,1.25865,5,0,0
27,2021.08.25 00:27,1.25872,1.25884,1.25863,1.25884,10,0,0
28,2021.08.25 00:28,1.25884,1.25884,1.25868,1.25884,3,0,0
29,2021.08.25 00:29,1.25868,1.25884,1.25868,1.25884,2,0,0
30,2021.08.25 00:30,1.25869,1.25885,1.25869,1.25885,2,0,0
31,2021.08.25 00:31,1.25885,1.25885,1.25885,1.25885,1,0,0
32,2021.08.25 00:32,1.25888,1.25901,1.25875,1.2588,14,0,0
33,2021.08.25 00:33,1.2588,1.25889,1.25875,1.25888,6,0,0
34,2021.08.25 00:34,1.25876,1.2589,1.25872,1.25887,10,0,0
35,2021.08.25 00:35,1.25889,1.25891,1.25885,1.25886,6,0,0
36,2021.08.25 00:36,1.25886,1.25891,1.25858,1.25885,9,0,0
37,2021.08.25 00:37,1.25887,1.25887,1.25873,1.25885,6,0,0
38,2021.08.25 00:38,1.25882,1.25903,1.25862,1.2589,15,0,0
39,2021.08.25 00:39,1.2589,1.25922,1.25885,1.25889,27,0,0
