Gmt time,Ask,Bid,AskVolume,BidVolume
24.06.2021 03:00:06.030,0.75753,0.75743,1500000,1000000
24.06.2021 03:00:07.191,0.75752,0.75743,1000000,1000000
24.06.2021 03:00:09.659,0.75753,0.75743,1500000,1000000
24.06.2021 03:00:13.388,0.75752,0.75743,1000000,1000000
24.06.2021 03:00:17.703,0.75753,0.75743,1690000.0572,1000000
24.06.2021 03:00:20.578,0.75753,0.75743,4000000,1000000
24.06.2021 03:00:26.138,0.75753,0.75741,2500000,1000000
24.06.2021 03:00:33.810,0.7575000000000001,0.75742,1250000,1000000
24.06.2021 03:00:33.911,0.7575100000000001,0.75742,1000000,1000000
24.06.2021 03:00:34.012,0.75753,0.75741,1690000.0572,1000000
24.06.2021 03:00:34.114,0.7575100000000001,0.75742,1000000,1000000
24.06.2021 03:00:47.353,0.75752,0.75742,1690000.0572,1000000
24.06.2021 03:00:47.454,0.75752,0.75743,1250000,1000000
24.06.2021 03:00:51.049,0.75752,0.75743,1000000,2750000
24.06.2021 03:00:51.100,0.75754,0.75744,1690000.0572,1250000
24.06.2021 03:00:51.150,0.7575500000000001,0.75746,1000000,1000000
24.06.2021 03:00:51.252,0.7575600000000001,0.75747,1250000,1000000
24.06.2021 03:00:54.789,0.75758,0.75749,2500000,1000000
24.06.2021 03:00:59.440,0.75758,0.75746,1250000,1000000
24.06.2021 03:00:59.794,0.7575600000000001,0.75747,1000000,1000000
24.06.2021 03:01:03.199,0.75758,0.75746,1690000.0572,1000000
24.06.2021 03:01:17.278,0.75758,0.75746,3250000,1000000
24.06.2021 03:01:24.033,0.75757,0.75747,1690000.0572,1000000
24.06.2021 03:01:37.634,0.75758,0.75748,2500000,1500000
24.06.2021 03:01:38.189,0.75758,0.75748,1000000,1500000
24.06.2021 03:01:44.106,0.75757,0.75748,1000000,1000000
24.06.2021 03:01:44.208,0.75757,0.75747,1000000,1500000
24.06.2021 03:02:03.051,0.7575600000000001,0.75746,2440000.0572,1500000
24.06.2021 03:02:26.818,0.75758,0.75749,1309999.9428,1000000
24.06.2021 03:02:26.970,0.75759,0.75749,3190000.0572,1000000
24.06.2021 03:02:28.134,0.7576100000000001,0.7575100000000001,1690000.0572,1000000
24.06.2021 03:02:29.582,0.7576200000000001,0.75753,2440000.0572,1000000
24.06.2021 03:02:29.683,0.75763,0.75753,3190000.0572,1000000
24.06.2021 03:02:32.836,0.75763,0.75752,1250000,1000000
24.06.2021 03:02:32.937,0.75759,0.75749,2440000.0572,1620000.0048
24.06.2021 03:02:33.038,0.75759,0.75749,3250000,1000000
24.06.2021 03:02:46.964,0.7576100000000001,0.7575100000000001,1000000,1950000.0477
24.06.2021 03:02:47.065,0.7576200000000001,0.75752,1309999.9428,1000000
24.06.2021 03:02:47.484,0.75763,0.75753,3250000,1000000
24.06.2021 03:02:47.586,0.75763,0.75753,1500000,1100000.0238
24.06.2021 03:02:54.547,0.75763,0.75753,2500000,1500000
24.06.2021 03:02:54.649,0.7576200000000001,0.7575100000000001,1690000.0572,3450000.0477
24.06.2021 03:02:57.467,0.7576200000000001,0.7575100000000001,4750000,1500000
24.06.2021 03:02:57.569,0.7576,0.7575000000000001,1250000,1500000
24.06.2021 03:03:00.910,0.7576100000000001,0.75749,4000000,1000000
24.06.2021 03:03:05.228,0.75759,0.7575000000000001,1250000,1000000
24.06.2021 03:03:17.745,0.7576,0.7575000000000001,2500000,1000000
24.06.2021 03:03:19.849,0.7576100000000001,0.7575000000000001,3250000,1500000
24.06.2021 03:03:19.950,0.7576100000000001,0.7575100000000001,3250000,1000000
24.06.2021 03:03:25.021,0.7576200000000001,0.75753,1250000,1000000
24.06.2021 03:03:26.746,0.75763,0.75753,1690000.0572,1570000.0525
