Win Rates,real,expected
0.0,-0.07622600122010478,-0.07622365264085874
0.1,-0.059437756001948006,-0.06525979560943845
0.2,-0.049338013503730585,-0.05407047595279455
0.30000000000000004,-0.037699917450020506,-0.04215100927362444
0.4,-0.029900400227400238,-0.030046487996855734
0.5,-0.01955344206269778,-0.0190698354217401
0.6000000000000001,0.7121679430437811,0.7382331089042012
0.7000000000000001,0.016952505202890364,0.0176906935650795
0.8,0.03760343989935501,0.03933369223544804
0.9,0.06572946911986399,0.06766539765671509
1.0,0.10248568274817435,0.10254570059267412
