Win Rates,real,expected
0.0,-0.026014989515250855,-0.02601470669476852
0.1,-0.02337435435218854,-0.02347056862994502
0.2,-0.02085888901232404,-0.020914049237814623
0.30000000000000004,-0.01839399403105927,-0.01833986636972661
0.4,-0.015535628661063686,-0.01575917862991097
0.5,-0.01251519841093932,-0.013192583149953006
0.6000000000000001,-0.012220478825586153,-0.01304770209877646
0.7000000000000001,0.0025265135008671036,0.006843602007765067
0.8,0.011744627285793249,0.016587839905746485
0.9,0.0284605558078309,0.03247550026800582
1.0,0.056810496637349925,0.056870969967830275
