Win Rates,real,expected
0.0,-0.06818350160554332,-0.06818140319778203
0.1,-0.05891094016712649,-0.059231045233325876
0.2,-0.03680647842002102,-0.04950616771128434
0.30000000000000004,-0.03321489246322101,-0.03826788286053496
0.4,-0.025052136781454674,-0.02646775344591752
0.5,-0.016016259305605556,-0.01619043018911288
0.6000000000000001,0.03659446199065409,0.03618034935958079
0.7000000000000001,0.015239614942777589,0.019083578330177424
0.8,0.039767495114980414,0.04307235760654583
0.9,0.07146629951623741,0.07427418140303352
1.0,0.1117495582590018,0.1118250809960801
