Win Rates,real,expected
0.0,-0.029760219869159384,-0.029759920084774075
0.1,-0.026722879294886048,-0.026845408904964087
0.2,-0.023899176915856156,-0.023919224896691047
0.30000000000000004,-0.021212378907425757,-0.020971317995445583
0.4,-0.018180850194529394,-0.01801567800776289
0.5,-0.009899232874114474,-0.01518116581390629
0.6000000000000001,0.007204811680720999,0.007735542738232399
0.7000000000000001,0.017625863918256938,0.020238856987882532
0.8,0.03401266186173334,0.04737983958251159
0.9,0.08663792205166593,0.08362508152840299
1.0,0.12636395155894722,0.12647755942301872
